epochs,train_auc_mean,test_auc_mean,train_auc_std,test_auc_std,train_precision,test_precision,prec_at_k
1.0,0.736460268497467,0.49020856618881226,0.244904026389122,0.3943299353122711,0.0005359038477763534,0.000473386695375666,100.0
2.0,0.7499843239784241,0.4917350113391876,0.23109303414821625,0.39300063252449036,0.0005511009367182851,0.00043590745190158486,100.0
3.0,0.762700617313385,0.4938954710960388,0.21725575625896454,0.39289164543151855,0.0005508582689799368,0.00044328044168651104,100.0
4.0,0.7724131345748901,0.49465253949165344,0.2061002552509308,0.39335954189300537,0.0005406324053183198,0.00047370060929097235,100.0
5.0,0.7817317843437195,0.49334827065467834,0.19550277292728424,0.39223042130470276,0.0005513714859262109,0.00044425358646549284,100.0
6.0,0.7900237441062927,0.4940137267112732,0.18555037677288055,0.3934752643108368,0.0005401099915616214,0.000460469804238528,100.0
7.0,0.7969516515731812,0.4925779104232788,0.17797797918319702,0.3924352526664734,0.0005627732607536018,0.00041552758193574846,100.0
8.0,0.803159773349762,0.49154141545295715,0.16968406736850739,0.39452898502349854,0.0005518473335541785,0.00044663072912953794,100.0
9.0,0.8080123066902161,0.49003738164901733,0.16424529254436493,0.3934251666069031,0.0005609501386061311,0.00043549519614316523,100.0
10.0,0.8132022619247437,0.4840352535247803,0.15865124762058258,0.3922462463378906,0.0005510238697752357,0.0004467219114303589,100.0
